Timestamp;Duration
2014-07-21 06:10:00;0:02:00
2014-07-21 09:23:00;0:02:00
2014-07-21 13:55:00;0:02:00
2014-07-22 07:07:00;0:03:00
2014-07-22 08:27:00;0:02:00
2014-07-22 08:48:00;0:02:00
2014-07-22 13:51:00;0:04:00
2014-07-22 15:19:00;0:02:00
2014-07-23 01:15:00;0:02:00
2014-07-23 06:48:00;0:02:00
2014-07-23 15:03:00;0:02:00
2014-07-23 16:26:00;0:03:00
2014-07-23 19:00:00;0:02:00
2014-07-23 19:23:00;0:02:00
2014-07-24 10:26:00;0:02:00
2014-07-24 10:53:00;0:02:00
2014-07-25 09:41:00;0:03:00
2014-07-26 08:21:00;0:02:00
2014-07-26 19:23:00;0:03:00
2014-07-26 21:50:00;0:02:00
2014-07-27 07:40:00;0:03:00
2014-07-27 19:46:00;0:02:00
2014-07-28 09:40:00;0:02:00
2014-07-28 11:41:00;0:02:00
2014-07-28 12:54:00;0:03:00
2014-07-29 10:23:00;0:02:00
2014-07-30 17:28:00;0:02:00
2014-07-31 08:50:00;0:02:00
2014-07-31 09:13:00;0:03:00
2014-07-31 16:17:00;0:02:00
2014-07-31 21:00:00;0:02:00
2014-08-01 17:55:00;0:02:00
2014-08-02 19:46:00;0:02:00
2014-08-04 01:17:00;0:02:00
2014-08-04 07:55:00;0:02:00
2014-08-04 09:19:00;0:02:00
2014-08-08 10:34:00;0:03:00
2014-08-08 12:22:00;0:02:00
2014-08-08 15:47:00;0:02:00
2014-08-08 18:16:00;0:02:00
2014-08-09 20:27:00;0:02:00
2014-08-10 01:08:00;0:02:00
2014-08-10 09:23:00;0:02:00
2014-08-11 07:13:00;0:02:00
2014-08-11 13:43:00;1:01:00
2014-08-11 15:39:00;0:02:00
2014-08-11 15:52:00;0:02:00
2014-08-12 07:55:00;0:02:00
2014-08-14 07:02:00;0:02:00
2014-08-14 17:18:00;0:02:00
2014-08-14 19:02:00;3:36:00
2014-08-14 22:53:00;0:02:00
2014-08-14 23:12:00;0:03:00
2014-08-14 23:17:00;0:04:00
2014-08-14 23:27:00;0:02:00
2014-08-15 00:48:00;0:02:00
2014-08-15 10:21:00;0:02:00
2014-08-15 10:32:00;0:02:00
2014-08-15 12:16:00;0:02:00
2014-08-16 06:50:00;0:03:00
2014-08-16 10:14:00;0:02:00
2014-08-16 12:59:00;0:02:00
2014-08-16 15:02:00;0:02:00
2014-08-16 15:18:00;0:02:00
2014-08-17 08:06:00;0:02:00
2014-08-17 09:17:00;0:02:00
2014-08-17 14:00:00;0:02:00
2014-08-17 16:30:00;0:02:00
2014-08-18 10:55:00;0:02:00
2014-08-18 11:48:00;0:02:00
2014-08-18 19:20:00;0:02:00
2014-08-19 08:42:00;0:02:00
2014-08-19 16:02:00;0:02:00
2014-08-19 16:19:00;0:02:00
2014-08-20 01:10:00;0:02:00
2014-08-20 13:35:00;0:02:00
2014-08-21 14:16:00;0:02:00
2014-08-21 15:50:00;0:02:00
2014-08-22 15:36:00;0:02:00
2014-08-22 16:30:00;0:03:00
2014-08-22 19:41:00;0:02:00
2014-08-23 07:37:00;0:03:00
2014-08-24 00:27:00;0:02:00
2014-08-25 18:03:00;0:02:00
2014-08-28 07:36:00;0:03:00
2014-08-28 14:31:00;0:02:00
2014-08-28 15:28:00;4:13:00
2014-08-29 09:08:00;0:02:00
2014-08-29 18:08:00;0:03:00
2014-08-29 19:02:00;0:03:00
2014-08-30 07:04:00;0:02:00
2014-09-01 09:19:00;0:02:00
2014-09-03 05:34:00;0:02:00
2014-09-04 09:26:00;0:03:00
2014-09-05 07:34:00;0:02:00
2014-09-07 07:15:00;0:02:00
2014-09-07 07:38:00;0:03:00
2014-09-07 18:29:00;0:02:00
2014-09-08 11:05:00;0:02:00
2014-09-08 11:27:00;0:03:00
2014-09-10 11:24:00;0:02:00
2014-09-11 11:16:00;0:02:00
2014-09-11 12:16:00;0:02:00
2014-09-11 12:18:00;0:02:00
